,Nombre,Score,Excelente,MuyBueno,Normal,Malo,Pesimo,Num_Reviews,Posicion,Rango_precio,Tipo_Cocina,Awards,Score_Comida,Score_Servicio,Calidad_Precio,Ambiente,Direccion,Web_TripAdvisor,Latina,Eur Este,Africana,China,Japonesa,Arabe,Mexicana,Caribeña,Asiatica,America Norte,America Sur,Italiana,Española,Eur Occidental,Asador,N/A,India,Num_Reviews_Spain,Latitud,Longitud
39,Taberna Los Madriles,5.0,1,0,0,0,0,1,3757.0,€€ - €€€,[],0,,,,,"['Calle Padilla ', ' 63', ' 28006 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d25148931-Reviews-Taberna_Los_Madriles-Madrid.html,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,40.4313586,-3.6794159
40,Artemisa Sol-Gran Via,4.0,150,107,27,22,16,386,439.0,€€ - €€€,"['Mediterránea', 'Europea', 'Española']",0,4.0,4.0,4.0,3.5,"['Calle Tres Cruces 4', ' 28013 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d3568628-Reviews-Artemisa_Sol_Gran_Via-Madrid.html,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,322,40.210042,-3.196621
41,La Perdiz de Somontes,3.5,39,24,10,13,23,111,6184.0,€€ - €€€,"['Española', 'Comedor']",0,3.5,3.5,3.5,4.0,"['Cerretera El Pardo', ' Km 2 Dentro de Complejo Deportivo Somontes', ' 28035 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d991098-Reviews-La_Perdiz_de_Somontes-Madrid.html,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,109,,
42,Penalti Lounge Bar,3.5,34,13,8,4,19,81,4564.0,€€ - €€€,[],0,3.0,3.0,3.0,,"['Av. de la Reina Victoria', ' 15', ' 28003 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d8423393-Reviews-Penalti_Lounge_Bar-Madrid.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,78,40.4466453,-3.7063727123299337
43,Marcial Bar,4.0,3,1,0,0,1,6,3659.0,€€ - €€€,[],0,,,,,"['Calle Pedro Muguruza 8', ' 28036 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d4055434-Reviews-Marcial_Bar-Madrid.html,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,5,40.4621718,-3.6858187
44,La Usina,3.5,6,2,0,2,2,12,3920.0,€€ - €€€,['Española'],0,,,,,"['San Joaquín', ' 14', ' 28004 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d12877248-Reviews-La_Usina-Madrid.html,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,,
45,Maki,3.0,0,0,3,1,0,4,402.0,€€ - €€€,['Sushi'],0,,,,,"['Calle Fromista', ' 5', ' 28050 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d10813627-Reviews-Maki-Madrid.html,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,40.5093374,-3.677161
46,Ondinas Do Mendo,4.5,147,91,24,5,5,293,420.0,€,"['Bar', 'Mediterránea', 'Española']",0,4.5,4.5,4.5,4.5,"['Calle Villaamil 4', ' 28039 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d2208969-Reviews-Ondinas_Do_Mendo-Madrid.html,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,272,40.32076805,-3.8707366525460136
47,Asador Lekeitio,4.0,36,30,13,3,3,86,2171.0,€€ - €€€,"['Mediterránea', 'Española', 'Vasca']",0,4.0,4.0,4.0,4.0,"['Calle Uruguay 16', ' 28016 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d1115658-Reviews-Asador_Lekeitio-Madrid.html,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,85,40.207994,-3.5827853
48,La Taberna de Mister Pinkleton,4.5,303,78,11,7,6,888,172.0,€€ - €€€,"['Bar', 'Mediterránea', 'Europea']",0,4.0,4.5,4.5,4.5,"['Calle Cuchilleros 7', ' 28005 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d3847118-Reviews-La_Taberna_de_Mister_Pinkleton-Madrid.html,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,405,40.4145408,-3.7079542
